Date,Discharge
2021-12-19,180
2021-12-20,183
2021-12-21,181
2021-12-22,184
2021-12-23,184
2021-12-24,184
2021-12-25,183
2021-12-26,183
2021-12-27,182
2021-12-28,180
2021-12-29,178
2021-12-30,177
2021-12-31,176
2022-01-01,174
2022-01-02,173
2022-01-03,174
2022-01-04,174
2022-01-05,174
2022-01-06,175
2022-01-07,174
2022-01-08,171
2022-01-09,169
2022-01-10,166
2022-01-11,164
2022-01-12,162
2022-01-13,160
2022-01-14,159
2022-01-15,157
2022-01-16,157
2022-01-17,157
2022-01-18,156
2022-01-19,156
2022-01-20,154
2022-01-21,153
2022-01-22,151
2022-01-23,150
2022-01-24,150
2022-01-25,151
2022-01-26,151
2022-01-27,150
2022-01-28,150
2022-01-29,147
2022-01-30,145
2022-01-31,146
2022-02-01,147
2022-02-02,147
2022-02-03,152
2022-02-04,158
2022-02-05,163
2022-02-06,169
2022-02-07,169
2022-02-08,169
2022-02-09,169
2022-02-10,172
2022-02-11,171
2022-02-12,170
2022-02-13,171
2022-02-14,172
2022-02-15,173
2022-02-16,173
2022-02-17,174
2022-02-18,174
2022-02-19,175
2022-02-20,175
2022-02-21,175
2022-02-22,175
2022-02-23,175
2022-02-24,174
2022-02-25,174
2022-02-26,174
2022-02-27,174
2022-02-28,173
2022-03-01,174
2022-03-02,174
2022-03-03,174
2022-03-04,174
2022-03-05,175
2022-03-06,174
2022-03-07,174
2022-03-08,174
2022-03-09,174
2022-03-10,172
2022-03-11,171
2022-03-12,174
2022-03-13,173
2022-03-14,172
2022-03-15,171
2022-03-16,172
2022-03-17,172
2022-03-18,171
2022-03-19,171
2022-03-20,171
2022-03-21,169
2022-03-22,167
2022-03-23,165
2022-03-24,167
2022-03-25,166
2022-03-26,165
2022-03-27,164
2022-03-28,163
2022-03-29,162
2022-03-30,160
